"Genotype";"Angle_Yr";"AUDPC_days_Yr";"AUDPC_GDD_Yr";"GDD50_Yr";"maxVar_Yr"
"G79";0.106641952382603;27.8506097409913;2391.27490885292;1645.97810095217;-1.42882850301214
"G80";1.2764457015522;549.545485451501;19186.6778485087;1572.69038138667;41.0711714969878
"G81";0.532765163725967;202.331936896584;7041.54859819493;1656.83935227128;4.14631738687706
"G82";0.366445701552195;181.378818784835;6341.50509809633;1621.34704805334;11.0711714969879
"G83";1.68811236821886;662.462152118168;20402.856593562;1538.57204805334;46.0711714969879
"G84";0.80477903488553;306.628818784835;10240.6335113082;1596.97204805333;36.0711714969879
"G85";0.466445701552196;172.712152118168;6963.34595842545;1670.09704805334;11.0711714969879
"G86";0.107578209520806;73.4082730575344;4539.57565491486;1605.93432763092;-12.0039743929014
"G87";0.151765106398993;148.729969635448;2461.23207426457;1636.46692509215;NA
"G88";0.432765163725969;213.031936896584;6409.87391634375;1617.83935227128;19.1463173868771
"G89";-0.108392760739251;-14.1869023196958;1269.96293914406;1639.35064104902;-17.0039743929013
"G91";0.819194022065387;168.406877832021;5795.72975854624;1631.5442908069;19.6846603374979
"G92";0.418112368218862;132.462152118168;6203.17932445581;1688.05871472;9.75949465915123
"G93";1.0614457015522;478.712152118168;17394.1941044629;1639.30871472;24.7594946591512
"G94";0.706807388449722;266.312458409875;7938.49316492787;1632.27217716305;16.6036562402329
"G95";0.721445701552196;286.212152118168;8935.67589147354;1631.18371472;17.2594946591512
"G96";0.721445701552195;213.712152118168;8648.93772651267;1627.12038138667;17.2594946591512
"G97";0.430415588896443;111.272612373117;4773.55718212519;1646.59484712317;9.88213011360606
"G98";0.629779034885529;165.378818784835;6834.99227879547;1639.30871472;14.7594946591512
"G99";0.586415588896443;280.972612373117;8646.65960908474;1633.59484712317;12.882130113606
"G100";0.383112368218862;72.8788187848351;5120.805162475;1650.14204805334;8.92616132581788
"G101";0.768112368218862;273.712152118168;9379.85878867918;1664.77204805333;18.0928279924846
"G102";0.519779034885528;156.628818784835;5517.80835420688;1639.30871472;12.2594946591512
"G103";0.761445701552196;211.628818784835;8902.77949655334;1647.43371472;18.0928279924845
"G104";0.279779034885529;94.0454854515015;4156.63980349134;1677.22538138667;6.75949465915122
"G105";0.521445701552195;187.545485451501;7552.29890859795;1663.68371472;12.2594946591512
"G106";0.784093197722651;201.135363505927;7227.28652777711;1641.88056344574;18.7559942486053
"G107";0.507175220553564;92.4867119735459;2964.47516160416;1614.79647303414;12.0679866498266
"G108";0.230765163725968;56.5319368965843;3843.73513586761;1668.64335227128;5.11218846956174
"G109";0.276445701552196;64.2954854515015;3593.0153487878;1679.93371472;6.42616132581788
